Area,Total_Population,Farm_Gate_Emissions,Logistics_Processing_Emissions,Consumer_Retail_Emissions,Industrial_Emissions,Total_Food_System_Emissions,Farm_Gate_Share,Logistics_Processing_Share,Consumer_Retail_Share,Industrial_Share,Cluster_Labels,Farm_Gate_Per_Capita,Logistics_Processing_Per_Capita,Consumer_Retail_Per_Capita,Industrial_Per_Capita,Total_Food_System_Per_Capita
Djibouti,926440.8181818182,505.29,289.39,204.22,1011.38,2010.29,25.14,14.4,10.16,50.31,3,0.55,0.31,0.22,1.12,2.2
Dominica,73186.27272727272,262.71,343.79,34.15,755.57,1396.21,18.82,24.62,2.45,54.12,3,3.59,4.7,0.47,10.33,19.09
Dominican Republic,10518134.636363637,4461.68,2186.55,6627.22,2519.63,15795.09,28.25,13.84,41.96,15.95,1,0.42,0.21,0.63,0.24,1.5
Ecuador,16140925.0,7449.83,2766.64,6881.5,3754.72,20852.69,35.73,13.27,33.0,18.01,1,0.46,0.17,0.43,0.23,1.29
Egypt,93631308.81818181,18381.0,9540.72,40024.89,47149.19,115095.8,15.97,8.29,34.78,40.97,3,0.2,0.1,0.43,0.5,1.23
El Salvador,6316498.181818182,857.45,385.6,2511.4,3090.64,6845.09,12.53,5.63,36.69,45.15,3,0.14,0.06,0.4,0.49,1.09
Eritrea,4874893.181818182,1786.38,314.01,964.69,465.47,3530.54,50.6,8.89,27.32,13.18,1,0.37,0.06,0.2,0.1,0.73
Estonia,1315813.0909090908,6381.57,710.78,954.93,596.79,8644.07,73.83,8.22,11.05,6.9,2,4.85,0.54,0.73,0.45,6.57
Eswatini,1319842.6363636365,604.51,428.46,338.71,7166.39,8538.07,7.08,5.02,3.97,83.93,0,0.46,0.33,0.26,5.45,6.5
Ethiopia,100010123.72727273,42227.94,1206.54,8001.47,3125.54,54561.49,77.4,2.21,14.67,5.73,2,0.42,0.01,0.08,0.03,0.54
Finland,5477881.7272727275,16681.3,2592.01,2109.97,6076.99,27460.27,60.75,9.44,7.68,22.13,2,3.05,0.47,0.39,1.11,5.02
France,64428484.54545455,42657.23,57203.67,28198.32,48764.64,176823.86,24.12,32.35,15.95,27.58,3,0.66,0.89,0.44,0.76,2.75
Gabon,1913650.8181818181,750.76,139.61,380.37,2760.4,4031.14,18.62,3.46,9.44,68.48,0,0.4,0.07,0.2,1.45,2.12
Georgia,4004340.5454545454,1200.58,527.45,1270.7,3393.16,6391.9,18.78,8.25,19.88,53.09,3,0.3,0.13,0.32,0.85,1.6
Germany,81696274.81818181,61155.09,37164.33,54229.19,80039.24,232587.85,26.29,15.98,23.32,34.41,3,0.75,0.46,0.66,0.98,2.85
Ghana,27599391.727272727,3427.28,973.5,5102.97,2433.55,11937.29,28.71,8.16,42.75,20.39,1,0.12,0.04,0.19,0.09,0.44
Greece,11251247.090909092,6160.54,3757.81,10952.08,8870.12,29740.56,20.71,12.64,36.83,29.82,1,0.55,0.33,0.97,0.79,2.64
Grenada,106903.54545454546,421.26,322.84,68.34,673.92,1486.36,28.34,21.72,4.6,45.34,3,3.95,3.02,0.64,6.31,13.92
Guatemala,16259324.181818182,2816.04,1496.71,4343.73,3780.49,12436.97,22.64,12.03,34.93,30.4,1,0.17,0.09,0.27,0.23,0.76
Guinea,12169016.363636363,9976.78,431.8,1263.04,427.34,12098.97,82.46,3.57,10.44,3.53,2,0.82,0.04,0.1,0.04,1.0
Guinea-Bissau,1773327.6363636365,797.7,288.48,333.76,2929.93,4349.87,18.34,6.63,7.67,67.36,0,0.45,0.16,0.19,1.77,2.57
Guyana,768128.3636363636,5142.57,228.53,346.76,5166.34,10884.21,47.25,2.1,3.19,47.47,3,6.69,0.3,0.45,6.73,14.17
Haiti,10700430.272727273,1566.36,428.44,5312.98,456.8,7764.58,20.17,5.52,68.43,5.88,1,0.15,0.04,0.49,0.04,0.72
Honduras,8960264.363636363,2010.6,632.22,2913.9,3292.96,8849.69,22.72,7.14,32.93,37.21,3,0.22,0.07,0.32,0.37,0.98
Hungary,9779544.272727273,9582.65,2980.07,5518.24,10049.64,28130.6,34.06,10.59,19.62,35.72,3,0.98,0.31,0.56,1.03,2.88
Iceland,331279.63636363635,1752.26,265.58,194.73,3566.17,5778.73,30.32,4.6,3.37,61.71,3,5.29,0.8,0.59,10.77,17.45
India,1308372423.090909,409508.85,38684.59,251877.03,227979.98,928050.45,44.13,4.17,27.14,24.57,1,0.31,0.03,0.19,0.17,0.7
Indonesia,257827422.0,557461.63,16453.33,117633.51,53901.43,745449.9,74.78,2.21,15.78,7.23,2,2.16,0.06,0.46,0.21,2.89
Iran (Islamic Republic of),79234497.81818181,48392.44,31085.32,42245.88,53879.12,175602.76,27.56,17.7,24.06,30.68,1,0.61,0.39,0.53,0.68,2.21
Iraq,36091211.45454545,3619.81,3281.04,15742.34,6285.59,28928.78,12.51,11.34,54.42,21.73,1,0.1,0.09,0.44,0.17,0.8
Ireland,4732969.0,18747.97,2740.34,2698.48,5587.39,29774.18,62.97,9.2,9.06,18.77,2,3.96,0.58,0.57,1.18,6.29
Israel,8071321.181818182,3433.43,3073.59,8598.54,9409.35,24514.92,14.01,12.54,35.07,38.38,3,0.43,0.38,1.06,1.16,3.03
Italy,59491895.90909091,24537.3,50610.35,35183.2,45090.5,155421.35,15.79,32.56,22.64,29.01,3,0.41,0.85,0.59,0.76,2.61
Jamaica,2869395.727272727,2268.06,344.18,1659.74,2834.76,7106.73,31.91,4.84,23.35,39.89,3,0.79,0.12,0.58,0.99,2.48
Japan,127791190.36363636,33380.12,53127.2,62780.96,184468.81,333757.09,10.0,15.92,18.81,55.27,3,0.26,0.42,0.49,1.44,2.61
Jordan,8952035.545454545,2297.51,876.73,3470.24,3474.88,10119.36,22.7,8.66,34.29,34.34,1,0.26,0.1,0.39,0.39,1.14
Kazakhstan,17670765.727272727,11651.72,6712.1,9864.0,10766.96,38994.77,29.88,17.21,25.3,27.61,1,0.66,0.38,0.55,0.61,2.2
Kenya,47308161.27272727,15079.08,1013.09,6806.6,2954.89,25853.65,58.32,3.92,26.33,11.43,2,0.32,0.02,0.14,0.06,0.54
Kuwait,3803582.5454545454,1364.22,1670.29,7322.84,9195.87,19553.22,6.98,8.54,37.45,47.03,3,0.36,0.44,1.94,2.43,5.17
Kyrgyzstan,5863721.636363637,1910.72,414.51,1113.43,1204.99,4643.65,41.15,8.93,23.98,25.95,1,0.33,0.07,0.19,0.2,0.79
Lao People's Democratic Republic,6685148.909090909,5353.99,1231.0,1837.32,1575.23,9997.53,53.55,12.31,18.38,15.76,2,0.8,0.18,0.27,0.23,1.48
Latvia,1998320.5454545454,6848.34,474.52,816.79,3883.86,12023.5,56.96,3.95,6.79,32.3,2,3.43,0.24,0.41,1.95,6.03
Lebanon,5531002.181818182,1441.15,1099.65,3906.73,2722.65,9170.17,15.72,11.99,42.6,29.69,1,0.26,0.2,0.71,0.5,1.67
Lithuania,2956726.727272727,12029.72,985.22,1108.42,10810.9,24934.26,48.25,3.95,4.45,43.36,3,4.07,0.33,0.37,3.68,8.45
Luxembourg,561677.6363636364,509.49,658.97,313.32,2349.68,3831.45,13.3,17.2,8.18,61.33,0,0.91,1.18,0.56,4.2,6.85
Malawi,17635677.363636363,3608.25,455.73,905.55,265.1,5234.63,68.93,8.71,17.3,5.06,2,0.2,0.03,0.05,0.02,0.3
Malaysia,30613957.636363637,48330.71,12816.26,25704.99,31032.57,117884.52,41.0,10.87,21.81,26.32,1,1.58,0.41,0.84,1.01,3.84
Mali,17559014.181818184,10935.07,315.33,1658.51,639.0,13547.91,80.71,2.33,12.24,4.72,2,0.62,0.02,0.09,0.04,0.77
Malta,426508.36363636365,315.98,143.03,396.3,1576.68,2431.99,12.99,5.88,16.3,64.83,0,0.74,0.34,0.93,3.7,5.71
Mauritania,4186915.5454545454,3512.74,449.47,667.85,382.09,5012.15,70.08,8.97,13.32,7.62,2,0.84,0.11,0.16,0.09,1.2
Mauritius,1260489.1818181819,100.81,400.24,1209.74,5571.2,7281.98,1.38,5.5,16.61,76.51,0,0.08,0.32,0.96,4.42,5.78
Mexico,125776965.27272727,41782.38,21878.12,83650.33,133688.41,280999.24,14.87,7.79,29.77,47.58,3,0.33,0.17,0.67,1.06,2.23
Micronesia (Federated States of),104927.45454545454,40.52,344.87,7.76,4183.9,4577.05,0.89,7.53,0.17,91.41,0,0.39,3.29,0.07,39.89,43.64
Mongolia,2968976.090909091,30791.3,2028.92,3806.03,801.34,37427.58,82.27,5.42,10.17,2.14,2,10.36,0.68,1.28,0.27,12.59
Montenegro,627693.5454545454,438.4,195.72,391.38,3238.24,4263.74,10.28,4.59,9.18,75.95,0,0.7,0.31,0.62,5.16,6.79
Morocco,34769315.36363637,10668.06,4074.37,14806.04,8561.41,38109.88,27.99,10.69,38.85,22.47,1,0.31,0.12,0.43,0.25,1.11
Mozambique,28112678.363636363,3233.78,409.51,2904.84,2786.08,9334.21,34.64,4.39,31.12,29.85,1,0.11,0.01,0.1,0.1,0.32
Myanmar,52429769.90909091,70749.7,978.7,8962.87,2445.54,83136.8,85.1,1.18,10.78,2.94,2,1.35,0.02,0.17,0.05,1.59
Nepal,28643555.272727273,12514.18,1566.7,4146.63,2404.74,20632.25,60.65,7.59,20.1,11.66,2,0.44,0.05,0.14,0.08,0.71
Netherlands (Kingdom of the),16936222.818181816,27148.69,10478.71,9759.51,26555.17,73942.08,36.72,14.17,13.2,35.91,3,1.6,0.62,0.58,1.57,4.37
New Zealand,4608909.7272727275,18672.17,3429.14,2025.41,5659.36,29786.09,62.69,11.51,6.8,19.0,2,4.06,0.74,0.44,1.23,6.47
Nicaragua,6080401.909090909,2657.99,601.78,2351.35,869.51,6480.63,41.01,9.29,36.28,13.42,1,0.44,0.1,0.39,0.14,1.07
Nigeria,181644588.72727272,36655.41,8637.04,33902.88,11432.0,90627.32,40.45,9.53,37.41,12.61,1,0.2,0.05,0.19,0.06,0.5
North Macedonia,2079442.9090909092,535.2,613.69,1113.21,1358.99,3621.09,14.78,16.95,30.74,37.53,3,0.26,0.3,0.54,0.65,1.75
Norway,5184252.454545454,8370.74,2122.63,1020.9,13055.23,24569.51,34.07,8.64,4.16,53.14,3,1.62,0.41,0.2,2.52,4.75
Oman,4150739.3636363638,978.48,1590.28,3497.71,13933.48,19999.95,4.89,7.95,17.49,69.67,0,0.24,0.4,0.84,3.33,4.81
Pakistan,189389760.9090909,52919.88,12585.35,38265.43,26453.79,130224.45,40.64,9.66,29.38,20.31,1,0.28,0.07,0.2,0.14,0.69
Panama,3967862.727272727,1705.05,799.92,2856.59,812.3,6173.87,27.62,12.96,46.27,13.16,1,0.43,0.2,0.72,0.21,1.56
Papua New Guinea,7924872.454545454,22784.02,677.54,577.23,2731.97,26770.75,85.11,2.53,2.16,10.21,2,2.89,0.09,0.07,0.35,3.4
Paraguay,6638376.909090909,7709.16,1124.26,1833.25,1245.53,11912.2,64.72,9.44,15.39,10.46,2,1.16,0.17,0.28,0.19,1.8
Peru,31358681.272727273,9866.86,4840.25,12417.27,5618.58,32742.96,30.13,14.78,37.92,17.16,1,0.32,0.15,0.4,0.18,1.05
Philippines,101702812.54545455,53959.19,7107.84,21417.2,16344.11,98828.33,54.6,7.19,21.67,16.54,2,0.53,0.07,0.21,0.16,0.97
Poland,38209086.63636363,54823.48,17825.83,26862.35,59990.9,159502.56,34.37,11.18,16.84,37.61,3,1.43,0.47,0.7,1.57,4.17
Portugal,10431108.636363637,4677.86,3078.8,6398.41,28272.84,42427.92,11.03,7.26,15.08,66.64,0,0.45,0.3,0.61,2.72,4.08
Qatar,2398845.5454545454,2098.77,2339.47,3168.09,18907.1,26513.43,7.92,8.82,11.95,71.31,0,0.89,0.97,1.3,7.87,11.03
Republic of Korea,50562091.0,20745.22,22869.15,36238.54,62836.56,142689.47,14.54,16.03,25.4,44.04,3,0.41,0.45,0.72,1.24,2.82
Republic of Moldova,4058432.4545454546,1629.67,683.09,2591.04,1103.09,6006.89,27.13,11.37,43.13,18.36,1,0.4,0.17,0.64,0.27,1.48
Romania,19884715.636363637,7794.58,3898.91,7075.16,15337.17,34105.82,22.85,11.43,20.74,44.97,3,0.39,0.2,0.36,0.77,1.72
Russian Federation,143698766.8181818,106157.3,63765.33,92157.42,276050.45,538130.49,19.73,11.85,17.13,51.3,3,0.74,0.44,0.64,1.92,3.74
Rwanda,11645498.454545455,3092.23,365.1,3089.64,626.72,7173.69,43.11,5.09,43.07,8.74,1,0.27,0.03,0.27,0.05,0.62
Saint Vincent and the Grenadines,109736.45454545454,263.35,319.42,68.7,675.89,1327.36,19.84,24.06,5.18,50.92,3,2.4,2.91,0.63,6.16,12.1
Sao Tome and Principe,195888.54545454544,278.21,304.05,33.55,1715.67,2331.49,11.93,13.04,1.44,73.59,0,1.43,1.56,0.17,8.74,11.9
Saudi Arabia,31331540.0,5430.09,13874.46,27943.72,89135.41,136383.69,3.98,10.17,20.49,65.36,0,0.17,0.44,0.9,2.84,4.35
Senegal,15005867.363636363,4263.12,496.23,3296.69,2205.47,10261.51,41.54,4.84,32.13,21.49,1,0.28,0.03,0.22,0.15,0.68
Serbia,8858789.636363637,4197.75,3240.89,4468.68,12771.52,24678.84,17.01,13.13,18.11,51.75,3,0.47,0.37,0.5,1.44,2.78
Sierra Leone,7243451.454545454,2160.29,341.37,727.54,412.67,3641.87,59.32,9.37,19.98,11.33,2,0.3,0.05,0.1,0.06,0.51
Singapore,5526547.7272727275,800.23,1114.66,4070.58,15398.56,21384.03,3.74,5.21,19.04,72.01,0,0.15,0.2,0.74,2.78,3.87
Slovakia,5433871.181818182,1898.95,1513.75,2357.13,6610.06,12379.89,15.34,12.23,19.04,53.39,3,0.35,0.28,0.43,1.22,2.28
Slovenia,2070345.3636363635,1162.79,914.49,956.38,2095.06,5128.73,22.67,17.83,18.65,40.85,3,0.56,0.44,0.46,1.01,2.47
Solomon Islands,587457.0909090909,82.15,319.44,91.22,6382.14,6874.95,1.19,4.65,1.33,92.83,0,0.14,0.55,0.15,10.89,11.73
Somalia,13978101.454545455,6458.51,514.32,873.75,2605.67,10452.25,61.79,4.92,8.36,24.93,2,0.47,0.04,0.06,0.19,0.76
South Africa,55214723.63636363,23252.38,9999.64,26313.75,25741.45,85307.22,27.26,11.72,30.85,30.18,1,0.42,0.18,0.48,0.47,1.55
South Sudan,12223060.333333334,19377.55,390.15,1327.57,463.76,21559.03,89.88,1.81,6.16,2.15,2,1.59,0.03,0.11,0.04,1.77
Spain,46561075.72727273,26703.69,18888.55,21427.65,33483.86,100503.76,26.57,18.79,21.32,33.32,3,0.57,0.41,0.46,0.72,2.16
Sri Lanka,20684646.636363637,5182.74,1215.42,4478.61,1450.42,12327.2,42.04,9.86,36.33,11.77,1,0.25,0.06,0.22,0.07,0.6
Sudan,39656089.666666664,25394.13,1650.68,5568.96,2084.75,34698.53,73.19,4.76,16.05,6.01,2,0.64,0.04,0.14,0.05,0.87
Suriname,552668.4545454546,1539.13,165.87,285.15,3515.4,5505.55,27.96,3.01,5.18,63.85,0,2.79,0.3,0.51,6.36,9.96
Sweden,9760992.636363637,13372.87,2664.16,1380.03,12182.94,29600.0,45.18,9.0,4.66,41.16,3,1.37,0.27,0.14,1.25,3.03
Switzerland,8288791.454545454,3723.65,4857.38,4194.22,7000.26,19775.5,18.83,24.56,21.21,35.4,3,0.45,0.59,0.51,0.85,2.4
Syrian Arab Republic,19314463.363636363,5281.37,1170.6,7288.96,2940.05,16680.97,31.66,7.02,43.7,17.63,1,0.27,0.06,0.38,0.15,0.86
Tajikistan,8552054.272727273,1975.05,195.93,1301.22,1407.37,4879.57,40.48,4.02,26.67,28.84,1,0.23,0.02,0.15,0.16,0.56
Thailand,68509234.72727273,70581.71,23085.21,43441.9,34306.5,171415.32,41.18,13.47,25.34,20.01,1,1.03,0.34,0.63,0.5,2.5
Timor-Leste,1241715.1818181819,460.28,285.89,288.86,5674.96,6709.99,6.86,4.26,4.3,84.57,0,0.37,0.23,0.23,4.58,5.41
Trinidad and Tobago,1357015.0909090908,384.59,791.97,2076.7,28824.88,32078.14,1.2,2.47,6.47,89.86,0,0.28,0.58,1.53,21.25,23.64
Tunisia,11272822.363636363,4085.42,1634.09,5891.54,5167.81,16778.85,24.35,9.74,35.11,30.8,1,0.36,0.14,0.52,0.46,1.48
Turkmenistan,5561159.363636363,6835.51,2500.12,3004.48,4040.89,16381.0,41.73,15.26,18.34,24.67,1,1.23,0.45,0.54,0.73,2.95
Uganda,40306234.0,15334.46,506.01,9241.53,988.08,26070.09,58.82,1.94,35.45,3.79,2,0.38,0.01,0.23,0.02,0.64
Ukraine,44674572.36363637,36087.62,8552.51,21871.94,35648.74,102160.81,35.32,8.37,21.41,34.89,3,0.81,0.19,0.49,0.8,2.29
United Arab Emirates,9161970.363636363,2574.11,3925.94,7586.09,20022.01,34108.15,7.55,11.51,22.24,58.7,3,0.28,0.43,0.83,2.18,3.72
United Kingdom of Great Britain and Northern Ireland,65387256.18181818,45173.22,21807.39,32543.18,40721.85,140245.64,32.21,15.55,23.2,29.04,1,0.69,0.33,0.5,0.62,2.14
United Republic of Tanzania,54105972.63636363,24406.74,2004.06,14207.46,2239.38,42857.64,56.95,4.68,33.15,5.23,2,0.45,0.04,0.26,0.04,0.79
United States of America,320013024.0,257289.6,184662.69,236058.58,605658.23,1283669.1,20.04,14.39,18.39,47.18,3,0.8,0.58,0.74,1.89,4.01
Uruguay,3432979.0,8327.25,738.9,1447.04,1028.35,11541.54,72.15,6.4,12.54,8.91,2,2.43,0.22,0.42,0.3,3.37
Uzbekistan,30952394.09090909,17093.8,2400.6,13566.69,15467.31,48528.4,35.22,4.95,27.96,31.87,1,0.55,0.08,0.44,0.5,1.57
Vanuatu,264814.54545454547,412.91,344.07,44.74,2340.7,3142.43,13.14,10.95,1.42,74.49,0,1.57,1.3,0.17,8.87,11.91
Venezuela (Bolivarian Republic of),31134044.454545453,13210.18,8317.41,9288.87,16778.16,47594.63,27.76,17.48,19.52,35.25,3,0.43,0.27,0.3,0.54,1.54
Viet Nam,93487769.81818181,61013.7,14320.58,25498.05,44942.18,145774.51,41.85,9.82,17.49,30.83,1,0.65,0.15,0.27,0.48,1.55
Yemen,26916638.0,4888.15,1039.18,6898.45,2336.85,15162.63,32.24,6.85,45.5,15.41,1,0.18,0.04,0.26,0.09,0.57
Zambia,16163712.454545455,17130.11,442.27,2028.46,1634.54,21235.38,80.67,2.08,9.55,7.7,2,1.07,0.03,0.13,0.1,1.33
Zimbabwe,15818082.818181818,4439.35,588.25,1681.02,2518.1,9226.72,48.11,6.38,18.22,27.29,1,0.28,0.04,0.11,0.16,0.59
